ID,node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5,4186,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,4318,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
19,4290,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
20,4323,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30,4315,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,10600,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
49,4432,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,4396,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,10828,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
63,4584,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
67,4553,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
69,10451,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
75,11321,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
81,10487,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
81,10487,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
83,11265,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1
89,4541,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
102,10949,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
102,10949,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
114,10813,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
117,12335,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
117,12335,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
131,10944,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
132,10485,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
134,10932,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
136,12356,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
137,12356,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
139,10428,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
140,4600,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
142,10300,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
145,10477,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
145,10477,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
146,11369,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
147,12354,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
154,10195,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
155,12394,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
163,4624,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
164,10940,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
164,10940,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
167,12216,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
169,12213,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
176,11503,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
178,4661,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
178,4661,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
179,4661,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
181,11498,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
182,10958,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
183,11426,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
